
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035292                       # Number of seconds simulated (Second)
simTicks                                  35291598500                       # Number of ticks simulated (Tick)
finalTick                                 35291598500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    242.97                       # Real time elapsed on the host (Second)
hostTickRate                                145248538                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10426588                       # Number of bytes of host memory used (Byte)
simInsts                                     19910567                       # Number of instructions simulated (Count)
simOps                                       45975011                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81945                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189218                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         70583198                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61726704                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   535609                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54086781                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 198727                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             16287296                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          42012685                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              194931                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            70466190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.767556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.564649                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  51349408     72.87%     72.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5708972      8.10%     80.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4308462      6.11%     87.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2983978      4.23%     91.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2795777      3.97%     95.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1495868      2.12%     97.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1014085      1.44%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    415127      0.59%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    394513      0.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              70466190                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  199888     25.43%     25.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.43% # attempts to use FU when none available (Count)
